timestamp,elapsed_s,event_type,suggestion_key,confirm_ts,complete_ts,intention_action_gap_s,abandoned
1773633921.54,15.1,suggestion,good_posture_neutral,,,,
1773633924.19,17.7,dismiss,good_posture_neutral,,,,true
1773633942.22,35.8,suggestion,uneven_shoulders,,,,
1773633951.41,44.9,dismiss,uneven_shoulders,,,,true
1773633962.65,56.2,suggestion,head_down_and_sad,,,,
1773633987.89,81.4,suggestion,head_down,,,,
1773634008.25,101.8,confirm,head_down,1773634008.25,,,
1773634008.3,101.8,suggestion,head_down_and_sad,,,,
1773634009.75,103.3,confirm,head_down_and_sad,1773634009.75,,,
1773634012.04,105.6,complete,head_down_and_sad,,1773634012.04,2.3,false
1773634029.25,122.8,suggestion,forward_hunch,,,,
1773634049.91,143.4,suggestion,head_down,,,,
1773634071.23,164.8,suggestion,forward_hunch,,,,
1773634091.28,184.8,suggestion,head_down_and_sad,,,,
1773634117.29,210.8,suggestion,forward_hunch,,,,
1773634137.93,231.5,suggestion,head_down,,,,
1773634159.25,252.8,suggestion,head_down_and_sad,,,,
1773634185.28,278.8,suggestion,negative_emotion,,,,
1773634221.14,314.7,suggestion,head_down,,,,
1773634241.25,334.8,suggestion,negative_emotion,,,,
1773634277.25,370.8,suggestion,head_down_and_sad,,,,
1773634303.18,396.7,suggestion,forward_hunch,,,,
1773634323.88,417.4,suggestion,head_down_and_sad,,,,
1773634349.23,442.8,suggestion,head_down,,,,
1773634369.86,463.4,suggestion,forward_hunch,,,,
1773634389.87,483.4,suggestion,negative_emotion,,,,
1773634425.25,518.8,suggestion,head_down,,,,
1773634445.87,539.4,suggestion,head_down_and_sad,,,,
1773634471.25,564.8,suggestion,uneven_shoulders,,,,
1773634491.28,584.8,suggestion,head_down,,,,
1773634511.28,604.8,suggestion,negative_emotion,,,,
1773634547.3,640.8,suggestion,sitting_too_long,,,,
1773634567.94,661.5,suggestion,negative_emotion,,,,
1773634603.31,696.8,suggestion,head_down,,,,
1773634623.96,717.5,suggestion,forward_hunch,,,,
1773634645.33,738.9,suggestion,negative_emotion,,,,
1773634681.31,774.8,suggestion,head_down_and_sad,,,,
1773634707.29,800.8,suggestion,head_down,,,,
1773634727.94,821.5,suggestion,forward_hunch,,,,
1773634749.28,842.8,suggestion,head_down,,,,
1773634769.29,862.8,suggestion,head_down_and_sad,,,,
1773634782.75,876.3,confirm,head_down_and_sad,1773634782.75,,,
1773634784.07,877.6,complete,head_down_and_sad,,1773634784.07,1.3,false
1773634789.51,883.0,suggestion,forward_hunch,,,,
1773634801.46,895.0,dismiss,forward_hunch,,,,true
